,file_name,"model (p,d,q,k)",error
0,7333_inverter_086.csv,"(2, 0, 1, 0)",0.029109359899359807
1,7333_inverter_087.csv,"(2, 0, 1, 0)",0.02872900560889445
2,7333_inverter_088.csv,"(2, 0, 1, 0)",0.032802094953190745
3,7333_inverter_089.csv,"(1, 1, 2, 0)",0.03573835083317543
4,7333_inverter_090.csv,"(2, 0, 1, 0)",0.027867261223058975
5,7333_inverter_091.csv,"(2, 0, 2, 0)",0.030177933035667598
6,7333_inverter_092.csv,"(0, 1, 2, 2)",0.030929929816179702
7,7333_inverter_093.csv,"(0, 1, 2, 2)",0.03180654570036879
8,7333_inverter_094.csv,"(0, 1, 2, 2)",0.03155826527441911
9,7333_inverter_095.csv,"(0, 1, 2, 2)",0.03240854353081664
10,7333_inverter_096.csv,"(0, 1, 2, 2)",0.03211605773259225
11,7333_inverter_097.csv,"(0, 1, 2, 2)",0.029902479972084284
12,7333_inverter_098.csv,"(0, 1, 2, 2)",0.03135884955318211
13,7333_inverter_099.csv,"(0, 1, 2, 2)",0.03139833862526503
14,7333_inverter_100.csv,"(0, 1, 2, 2)",0.029316265040561538
15,7333_inverter_101.csv,"(0, 1, 2, 2)",0.03164645395568665
16,7333_inverter_102.csv,"(2, 0, 1, 0)",0.034399450502725915
17,7333_inverter_103.csv,"(1, 1, 2, 0)",0.03778109460174841
18,7333_inverter_104.csv,"(0, 1, 2, 0)",0.03321037712652911
19,7333_inverter_105.csv,"(0, 1, 2, 0)",0.03800023257520774
20,7333_inverter_106.csv,"(2, 0, 1, 0)",0.032616504187451024
21,7333_inverter_107.csv,"(2, 0, 2, 0)",0.0337226478373468
22,7333_inverter_108.csv,"(2, 0, 2, 0)",0.03552774279203396
23,7333_inverter_109.csv,"(0, 1, 2, 0)",0.03251945633777547
24,7333_inverter_110.csv,"(0, 1, 1, 0)",0.03388921916037713
25,7333_inverter_111.csv,"(2, 0, 1, 0)",0.034308791283840345
26,9068_inverter_000.csv,"(1, 1, 1, 1)",0.029603875045281114
27,9068_inverter_001.csv,"(0, 1, 2, 2)",0.03491399931591674
28,9068_inverter_002.csv,"(2, 1, 2, 2)",0.031256144015051716
29,9068_inverter_003.csv,"(1, 1, 1, 2)",0.030788696623705286
30,9068_inverter_004.csv,"(1, 1, 1, 2)",0.030732937256562388
31,9068_inverter_005.csv,"(2, 1, 2, 2)",0.028517672480356016
32,9068_inverter_006.csv,"(2, 1, 2, 2)",0.02453609148308189
33,9068_inverter_007.csv,"(1, 1, 1, 2)",0.024797026228971727
34,9068_inverter_008.csv,"(2, 1, 2, 1)",0.0349618380079472
35,9068_inverter_009.csv,"(2, 1, 2, 2)",0.02934326143746743
36,2105_meter_000.csv,"(1, 1, 1, 1)",0.02250715916919123
37,9068_meter_000.csv,"(0, 1, 2, 2)",0.002454503283571136
